"";"geo";"time";"B1G__CLV15_MNAC";"B1G__CP_MEUR";"B1G__CP_MNAC";"D1__CP_MEUR";"D1__CP_MNAC";"D1_D4_MD5__I16";"D11__CP_MEUR";"D11__CP_MNAC";"D12__CP_MEUR";"D12__CP_MNAC";"EMP_DC__THS_HW";"EMP_DC__THS_PER";"SAL_DC__THS_HW";"SAL_DC__THS_PER";"nace0";"nulc_va";"nulc_va_eur";"nulc_aper_va";"nulc_aper_va_eur";"nulc_hw_va";"nulc_hw_va_eur";"rulc_aper_va";"rulc_hw_va";"emp_ind";"lp_ind";"d1_per_ind";"va_ind";"nulc_va_rel_ecfin13";"nulc_va_eur_rel_ecfin13";"nulc_aper_va_rel_ecfin13";"nulc_aper_va_eur_rel_ecfin13";"nulc_hw_va_rel_ecfin13";"nulc_hw_va_eur_rel_ecfin13";"rulc_aper_va_rel_ecfin13";"rulc_hw_va_rel_ecfin13";"emp_ind_rel_ecfin13";"lp_ind_rel_ecfin13";"d1_per_ind_rel_ecfin13";"va_ind_rel_ecfin13"
"21";"AT";1998-07-01;57828,8;43687,8;43985;24008,9;24172,2;NA;19690,9;19824,8;4318;4347,4;1645984;3668,83;1304111;3154,8;"total";87,3259221692166;86,7359749120272;87,3571615486682;86,7670032477731;89,3574020824562;88,7537307674719;104,186041227605;106,571734721827;89,5279858076072;89,0889347673723;77,8284261185179;79,7563264712231;103,993825724839;103,642316279269;103,39488637199;103,045335049528;NA;NA;104,215124971753;NA;97,7167450817329;96,614410560098;99,8965778189604;94,4059410911582
"22";"AT";1998-07-01;9601,2;8665,2;8724,1;5283,7;5319,7;NA;4360,2;4389,8;923,6;929,8;280502;654,64;267302;633,01;"manu";105,053070192857;104,342144665677;105,308010741321;104,595359955245;105,62900178787;104,914178759436;111,378989649314;111,720683896005;106,986549870075;70,99150204377;74,8038652982662;75,9415876531248;106,609687062675;106,245972710227;106,793238452269;106,428900826894;NA;NA;109,863559803527;NA;92,9864089398507;94,2406447515314;100,65975873142;87,6185110645783
"23";"AT";1998-10-01;58048,1;44130,2;44160,6;24384,2;24401;NA;20001,3;20015,1;4382,9;4385,9;1648677;3674,54;1309806;3163,43;"total";87,8194671573977;87,7590037727722;87,7475754763572;87,6871615888934;89,6180941344656;89,5563924016899;104,630814780793;106,861352016578;89,6673230892369;89,2878168350843;78,3507751251173;80,0587806531383;103,509920332211;103,417515830761;102,843046985952;102,751171648144;NA;NA;104,051138584617;NA;97,4588501586048;97,1969771390523;99,9625521341139;94,7245316292226
"24";"AT";1998-10-01;9593,9;8735,4;8741,4;5336,4;5340,1;NA;4407;4410;929,5;930,1;279548;654,35;266047;632,16;"manu";105,53616942358;105,463046480776;105,887602155205;105,814235714881;106,252711725603;106,179092311475;111,685370924378;112,07267677774;106,939155730605;70,9689643222472;75,1916900731174;75,8838476216842;104,620967487736;104,525004271472;104,931836394851;104,835590930332;NA;NA;107,96560764177;NA;92,8858292351805;95,3746653787365;100,09541410508;88,5769320496122
"25";"AT";1999-01-01;58294,4;44526,3;44526,3;24631,9;24631,9;NA;20196,5;20196,5;4435,3;4435,3;1662963;3711,27;1319580;3191,48;"total";88,2759211542466;88,2759211542466;88,302349504628;88,302349504628;90,1914610379554;90,1914610379554;104,870641788073;107,114328091373;90,5636205243084;88,7792475805247;78,3970438438168;80,398472696028;104,598020513074;104,350659353628;104,060351932449;103,814197697434;NA;NA;104,515258477005;NA;98,1337334420006;96,3699628172253;100,285137930161;94,5688560063153
"26";"AT";1999-01-01;9729,7;8877,4;8877,4;5360,4;5360,4;NA;4428,4;4428,4;931,9;931,9;277941;657,34;264268;634,78;"manu";104,458761703474;104,458761703474;104,85095518348;104,85095518348;105,267324147586;105,267324147586;110,439144938007;110,879886522215;107,427805651343;71,646136481913;75,1659987759898;76,9579703983469;104,960610153242;104,710365466942;105,327015292469;105,075899839534;NA;NA;107,006073404437;NA;93,3148066132464;94,8999266720533;99,9727059812779;88,5427450981496
"27";"AT";1999-04-01;58998,6;44863,5;44863,5;24818;24818;NA;20347;20347;4471;4471;1671160;3718,71;1323935;3202,63;"total";87,8812561514458;87,8812561514458;87,7771301141891;87,7771301141891;89,9340034826309;89,9340034826309;104,713185095341;107,28633219851;90,7451738299695;89,6719406959886;78,714350084449;81,3696912774448;103,107907229545;102,842444635986;102,54440136626;102,280325940497;NA;NA;103,633861880918;NA;98,0069424762688;97,1632276898616;99,6376513440361;95,2241043263961
"28";"AT";1999-04-01;9940,9;9064,8;9064,8;5356,3;5356,3;NA;4426,5;4426,5;929,9;929,9;280551;656,75;266744;634,05;"manu";102,16127694777;102,16127694777;102,570761489957;102,570761489957;102,95421861044;102,95421861044;108,100584389035;108,506849472338;107,331383091732;73,2671014230486;75,1949812706197;78,6284765134512;102,242979405315;101,977755154076;102,622043579981;102,355838749592;NA;NA;104,232707109154;NA;93,5441141915917;96,5822928273518;99,1320216353579;90,3338506212056
"29";"AT";1999-07-01;59877,6;45647,9;45647,9;25031,9;25031,9;NA;20525,4;20525,4;4506,4;4506,4;1668593;3720,31;1323826;3209,32;"total";87,337471075401;87,337471075401;87,0896001742851;87,0896001742851;89,2475752322965;89,2475752322965;103,629002206452;106,196920802965;90,784217551617;90,9687923924763;79,2272704599045;82,5819905291707;102,426716811994;102,095326539648;101,802331058705;101,472897779811;NA;NA;102,73139161399;NA;97,3671454413197;98,1884050143001;99,9602934229511;95,6006324751888
"30";"AT";1999-07-01;10045,6;9145,5;9145,5;5412,5;5412,5;NA;4474,5;4474,5;938;938;279644;655,93;265445;633,08;"manu";102,157240355106;102,157240355106;102,595602401188;102,595602401188;103,119495910205;103,119495910205;108,301421379751;108,856592844445;107,19737207668;74,1313268648467;76,1003728736646;79,4566109369902;102,908405112538;102,573485949838;103,410267190764;103,073717454212;NA;NA;105,554289392988;NA;93,2779463410694;96,3071491150597;99,6088624341589;89,820206258303
